text,label
"The history of Madagascar is distinguished clearly by the early isolation of the landmass from the ancient supercontinent containing Africa and India, and by the island's late colonization by human settlers from the Sunda islands (Malay Archipelago) and from East Africa. 
These two factors facilitated the evolution and survival of thousands of endemic plant and animal species, some of which have gone extinct or are currently threatened with extinction due to the government not allocating resources to help the growing population, causing many people to resort to harmful environmental practices as a way of survival.
Trade in the Indian Ocean at the time of first colonization of Madagascar was dominated by large ships, called Djong, coming from Java and Sumatra. Over the past two thousand years the island has received waves of settlers of diverse origins including Austronesian, Bantu, Arab, South Asian, Chinese and European. The majority of the population of Madagascar today is a mixture of Austronesian and Bantu settlers. Despite popular belief, there has been no genetic input from Arabs or Indians, although one tribe, the Antemoro, claims descent from Somali Arab traders. European and Middle eastern paternal ancestry is also present.",human
"Madagascar's history is marked by its early separation from the ancient supercontinent that included Africa and India, as well as the late arrival of human settlers from the Sunda Islands (Malay Archipelago) and East Africa. These elements contributed to the development and persistence of numerous unique plant and animal species, many of which have either become extinct or are currently at risk due to the government's failure to allocate resources for the growing population. This has led many individuals to engage in harmful environmental practices for survival. During the initial colonization of Madagascar, trade in the Indian Ocean was primarily conducted by large vessels known as Djong, originating from Java and Sumatra. Over the last two millennia, the island has experienced waves of settlers from various backgrounds, including Austronesian, Bantu, Arab, South Asian, Chinese, and European. Today, the majority of Madagascar's population is a blend of Austronesian and Bantu ancestry. Contrary to common belief, there has been no significant genetic contribution from Arabs or Indians, although the Antemoro tribe claims descent from Somali Arab traders. Additionally, there is some presence of European and Middle Eastern paternal lineage.",machine
"Marybeth Yuen Maul (March 26, 1925 – April 23, 2010) was the first Asian-American female magistrate in Hawaii. She also served as a Molokai District Court judge for the County of Maui. Maul passed away on April 23, 2010 in Eugene, Oregon at 85 years old. Personal life 
Maul was born in Honolulu on March 26, 1925, to Yun Kee Yuen and Lin Tai (Chock) Yuen. She had three siblings: Lilyan, Jane, and  John (""Sonny""). Her father, Yun Kee Yuen worked for the Libby pineapple company as an office clerk and bookkeeper. Maul's family often spent summers in Moloka'i.  Maul's parents sent her and her siblings to stay with David Beckwith, the cousin of a family friend, in Wisconsin during World War II in order to protect them. Marybeth would later return to Moloka'i to practice law and to help her father in the 1950s. Maul and her family started the first Chinese restaurant on Moloka'i called Hop Inn in 1963. She also cofounded the Molokai Humane Society, volunteered with the Girl Scouts, and served on the State Advisory Committee to the Department of Education on Title IV.",human
"Marybeth Yuen Maul (March 26, 1925 – April 23, 2010) was the first Asian-American woman to become a magistrate in Hawaii. She also held the position of judge at the Molokai District Court for Maui County. Maul passed away on April 23, 2010, in Eugene, Oregon, at the age of 85. 

Personal Life  
Born in Honolulu on March 26, 1925, to Yun Kee Yuen and Lin Tai (Chock) Yuen, Maul had three siblings: Lilyan, Jane, and John (""Sonny""). Her father, Yun Kee Yuen, was employed as an office clerk and bookkeeper for the Libby pineapple company. The family frequently spent their summers in Moloka'i. During World War II, Maul's parents sent her and her siblings to Wisconsin to stay with David Beckwith, a cousin of a family friend, for their safety. In the 1950s, Marybeth returned to Moloka'i to practice law and assist her father. In 1963, she and her family opened the first Chinese restaurant on Moloka'i, named Hop Inn. Additionally, she co-founded the Molokai Humane Society, volunteered with the Girl Scouts, and was a member of the State Advisory Committee to the Department of Education regarding Title IV.",machine
"""Cheerleader"" is a song recorded by Jamaican singer and songwriter Omi. The track was written and produced by OMI and Clifton Dillon, Mark Bradford, and Ryan Dillon. OMI first began developing the song in 2008, when he created its melody. It was refined over several years alongside famed Jamaican producer Clifton Dillon. It was first recorded with veteran session musicians Sly and Robbie and Dean Fraser. Released as a single on independent label Oufah, the song saw success in Jamaica, where it topped the charts, and also attracted airplay in Hawaii and Dubai. Ultra contacted two disc jockeys to produce remixed versions of the original song. The label and song's producers preferred one remix, produced by a young German DJ, Felix Jaehn, that eschewed much of the song's original instrumentation for a tropical-flavored deep house rendition, prominently featuring a trumpet, a conga beat, and piano. A remix extended play was released in May 2015 by Ultra, which began to first see commercial success that fall. ""Cheerleader"" achieved commercial success in 2015, when it reached number one in 20 countries including the United States, the United Kingdom, Australia, Canada, France, Mexico, Ireland, Sweden, and Germany.",human
"""Cheerleader"" is a track by Jamaican artist Omi, who also co-wrote and produced it alongside Clifton Dillon, Mark Bradford, and Ryan Dillon. Omi started working on the song's melody in 2008, and it was developed over the years with the help of renowned Jamaican producer Clifton Dillon. The initial recording featured experienced session musicians Sly and Robbie, along with Dean Fraser. Released as a single under the independent label Oufah, the song became popular in Jamaica, reaching the top of the charts, and gained airplay in places like Hawaii and Dubai. Ultra Music reached out to two DJs to create remixes of the original track. The producers and label favored a remix by young German DJ Felix Jaehn, which transformed the song into a tropical deep house version, highlighting trumpet, conga rhythms, and piano while minimizing the original instrumentation. In May 2015, Ultra released a remix EP, which began to gain commercial traction that fall. ""Cheerleader"" saw significant commercial success in 2015, hitting number one in 20 countries, including the United States, the United Kingdom, Australia, Canada, France, Mexico, Ireland, Sweden, and Germany.",machine
"Vaclav Smil (; born 9 December 1943) is a Czech-Canadian scientist and policy analyst. He is Distinguished Professor Emeritus in the Faculty of Environment at the University of Manitoba in Winnipeg, Manitoba, Canada.  His interdisciplinary research interests encompass a broad area of energy, environmental, food, population, economic, historical and public policy studies. He has also applied these approaches to energy, food and environmental affairs of China. Early life and education
Smil was born during WWII in Plzeň, at that time in the German Protectorate of Bohemia and Moravia (present-day Czech Republic). His father was a police officer and his mother a book keeper. Growing up in a remote mountain town in the Plzeň Region, Smil cut wood daily to keep the home heated. This provided an early lesson in energy efficiency and density.
 
Smil completed his undergraduate studies at the Faculty of Natural Sciences of Charles University in Prague, where he took 35 classes a week, 10 months a year, for 5 years. ""They taught me nature, from geology to clouds,"" Smil said. After graduation he refused to join the Communist party, undermining his job prospects, though he found employment at a regional planning office. He married Eva, who was studying to be a physician. In 1969, following the Soviet invasion of Czechoslovakia and also Eva's graduation, the Smils emigrated to the US, leaving the country months before a Soviet travel ban shut the borders. ""That was not a minor sacrifice, you know?"" Smil says. Over the next two years, Smil completed a doctorate in Geography at the College of Earth and Mineral Sciences of the Pennsylvania State University.",human
"Vaclav Smil (born December 9, 1943) is a Czech-Canadian scientist and policy analyst. He holds the title of Distinguished Professor Emeritus in the Faculty of Environment at the University of Manitoba in Winnipeg, Canada. His research spans a wide range of interdisciplinary topics, including energy, environment, food, population, economics, history, and public policy, with a particular focus on the energy, food, and environmental issues in China. 

Early in his life, Smil was born during World War II in Plzeň, which was then part of the German Protectorate of Bohemia and Moravia (now the Czech Republic). His father worked as a police officer, and his mother was a bookkeeper. Growing up in a secluded mountain town in the Plzeň Region, he learned about energy efficiency and density by chopping wood daily to heat their home.

Smil earned his undergraduate degree from the Faculty of Natural Sciences at Charles University in Prague, where he attended 35 classes a week for 10 months each year over five years. ""They taught me about nature, from geology to clouds,"" he remarked. After graduating, he declined to join the Communist party, which limited his job opportunities, but he eventually found work at a regional planning office. He married Eva, who was training to become a doctor. In 1969, after the Soviet invasion of Czechoslovakia and following Eva's graduation, the Smils emigrated to the United States, leaving just before a Soviet travel ban was imposed. ""That was not a minor sacrifice, you know?"" Smil reflects. Over the next two years, he earned a doctorate in Geography from the College of Earth and Mineral Sciences at Pennsylvania State University.",machine
"Willie King (March 18, 1943 – March 8, 2009) was an American blues guitarist and singer, known for shunning fame and playing at a local bar in Mississippi. Biography
King was born in Prairie Point, a community in Noxubee County, Mississippi near the Alabama border. Prior to recording, he worked as a sharecropper, moonshine maker and traveling salesman; just a few of his many occupations. Later he became active with the civil rights movement, which inspired him to write socially conscious blues songs. In 1983, he founded the Rural Members Association, a non-profit organization dedicated to promoting the traditional rural skills King had grown up with, which he called 'survival skills,' and helping improve his local community.  In 1997, the Rural Members Association started the annual Freedom Creek blues festival, which has since received international recognition. He began recording in 1999 and his 2000 recordings Freedom Creek and I Am The Blues, were the first of several acclaimed albums.",human
"Willie King (March 18, 1943 – March 8, 2009) was an American blues guitarist and vocalist who preferred a low profile, often performing at a local bar in Mississippi. 

Biography  
King was born in Prairie Point, a small community in Noxubee County, Mississippi, close to the Alabama border. Before he began recording music, he held various jobs, including sharecropping, making moonshine, and working as a traveling salesman. He later became involved in the civil rights movement, which motivated him to create blues songs with social messages. In 1983, he established the Rural Members Association, a non-profit organization aimed at promoting the traditional rural skills he learned growing up, which he referred to as 'survival skills,' and enhancing his local community. In 1997, the Rural Members Association launched the annual Freedom Creek blues festival, which has gained international acclaim. He started recording music in 1999, and his albums Freedom Creek and I Am The Blues, released in 2000, were the first of several highly regarded recordings.",machine
